,ISO_code,Year,Education,Employment,Parliamentary Representation,Poverty,Legal Protection Index,Son Bias,Maternal Mortality,Attitudes Towards Violence,Child Marriage,Access Water Sanitation,Access Electricity,Cell Phone Use,Financial Inclusion,Education (source),Employment (source),Parliamentary Representation (source),Poverty Alleviation (source),Legal Protection (source),Gender-Equitable Births (source),Maternal Survival (source),Attitudes Against Violence (source),Absence of Child Marriage (source),Water Sanitation Access (source),Electricity Access (source),Cell Phone Use (source),Financial Inclusion (source),Subregion,Region,Income,Education (score),Employment (score),Parliamentary Representation (score),Poverty Alleviation (score),Legal Protection (score),Gender-Equitable Births (score),Maternal Survival (score),Attitudes Against Violence (score),Absence of Child Marriage (score),Water Sanitation Access (score),Electricity Access (score),Cell Phone Use (score),Financial Inclusion (score),Equity,Protection,Resources,WSI (Baseline),included_index,Economy,WSI Quartile
329,BDI,2024,0.6445086705202312,90.01965422000836,38.888888888888886,62.1,0.65625,102.5,494.42978,17.515475716662582,19.0,51.21828062154487,10.3,57.96130144,0.0654888525605201,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,TSI,Eastern Africa,Sub-Saharan Africa,Low income,0.3520999868929452,0.894415836115649,0.3712121212121212,0.321311475409836,0.6333333333333333,0.8742857142857141,0.707295090700931,0.5916584130558519,0.7519582245430809,0.4695501776101918,0.095766129032258,0.1814543973829308,0.0580101816310984,51.447455059277694,73.12993606463945,20.119522141411977,42.30180678561009,True,Burundi,lowest quartile
359,BEL,2024,0.9911504424778762,71.54490364180367,43.0622009569378,0.0,1.0,104.9,4.75586,1.4977441504239244,0.1,99.65576542637088,100.0,101.8707731,0.9865114688873292,TSI,ORI,ORI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,TSI,Western Europe,Europe & Central Asia,High income,0.6382573525175891,0.6989675885526967,0.411048281861679,1.0,1.0,0.7371428571428567,0.9978202923040912,0.9694729700504452,0.9986945169712794,0.9962568115521848,1.0,0.3189179553348859,0.9864035233740098,74.9654644586393,92.5782659117168,82.539457256527,83.0508271525529,True,Belgium,top quartile
389,BEN,2024,0.446519298979494,86.04062539682405,26.605504587155963,12.7,0.8333333333333333,104.2,522.60474,19.427385601185183,27.5,35.289535182021,56.5,108.9652901,0.1749831587076187,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,TSI,Western Africa,Sub-Saharan Africa,Lower middle income,0.1886571431127131,0.8523208585839187,0.2539616346955796,0.8612021857923498,0.8222222222222222,0.7771428571428568,0.6905787911394575,0.5465616786620118,0.6409921671018277,0.2963418467652635,0.561491935483871,0.3411281417001899,0.1683807447244765,59.56728088813566,66.38188735115385,34.18356671684502,51.32058312418647,True,Benin,lowest quartile
419,BFA,2024,0.5169662932221925,74.95430162053073,16.901408450704224,25.3,0.8333333333333333,104.2,263.7554,24.712254570074474,38.2,32.92378915561749,19.5,111.6631328,0.1701145023107528,TSI,ORI,ORI,TSI,ORI,ORI,TSI,TSI,TSI,TSI,TSI,TSI,TSI,Western Africa,Sub-Saharan Africa,Low income,0.2468120682240705,0.735036322328892,0.1613316261203585,0.7234972677595628,0.8222222222222222,0.7771428571428568,0.8441549846364381,0.4219060481191751,0.5013054830287206,0.27061685028063,0.188508064516129,0.3495740428307777,0.163473125625924,53.77799013310212,63.612734323179765,24.30430208133652,43.64594774893224,True,Burkina Faso,lowest quartile
449,BGD,2024,0.8489795918367348,40.31954650541221,20.857142857142858,5.0,0.375,104.9,123.02825,1.4166666666666663,51.4,72.0998090693868,99.4,105.2642491,0.3057584464550018,TSI,TSI,ORI,TSI,ORI,ORI,TSI,TSI,TSI,TSI,TSI,TSI,TSI,Southern Asia,South Asia,Lower middle income,0.5208934357041974,0.368628009352375,0.1990909090909091,0.9453551912568308,0.3333333333333333,0.7371428571428567,0.9276488811968026,0.9713853665393808,0.3289817232375979,0.6966148075067254,0.993951612903226,0.3295416150408513,0.3002025960633619,47.346017574752906,74.12897070291595,58.00776578785411,58.82823985937056,True,Bangladesh,mid-quartiles
479,BGR,2024,1.017683465959328,77.06156149725378,25.416666666666668,0.7,0.90625,106.0,7.08603,5.181347150259067,7.8199999999999985,90.34806395217812,100.0,117.4346239,0.843245804309845,TSI,ORI,ORI,TSI,ORI,ORI,TSI,TSI,AVG_REG,TSI,TSI,TSI,TSI,Eastern Europe,Europe & Central Asia,High income,0.6601607141887174,0.7573294649790087,0.2426136363636364,0.9923497267759562,0.9,0.6742857142857142,0.9964377945206284,0.8825868320369913,0.897911227154047,0.8950453606900509,1.0,0.3676423472603383,0.84199133768354,71.04907084614636,86.28053919993452,77.61697614084822,78.0685280165954,True,Bulgaria,top quartile
509,BHR,2024,1.1382878645343366,48.05249036850921,22.5,0.3454545454545454,0.6041666666666666,103.8,15.89788,6.974895348365124,13.866666666666667,99.97356667692436,100.0,145.4432145,0.7540674209594727,TSI,TSI,ORI,AVG_INC,ORI,ORI,TSI,AVG_REG,AVG_REG,TSI,TSI,TSI,TSI,Middle East,Middle East & North Africa,High income,0.7597212396962604,0.4504364386541506,0.2147727272727272,0.9962245404868356,0.5777777777777777,0.8,0.9912096939557732,0.8402819266817185,0.8189730200174065,0.999712565450556,1.0,0.455326402010718,0.7520992808955391,59.97865447775504,86.26161601637246,80.17845620892032,74.58027828894876,True,Bahrain,mid-quartiles
539,BHS,2024,1.0273738237810095,92.10225679971742,20.0,0.3454545454545454,0.71875,102.8,77.05063,14.528389522511397,20.15714285714285,96.2361871257311,100.0,98.53872346,0.9026253647529162,TSI,TSI,ORI,AVG_INC,ORI,ORI,TSI,AVG_REG,AVG_REG,TSI,TSI,TSI,AVG_INC,Caribbean,Latin America & Caribbean,High income,0.6681602326845765,0.9164481240673154,0.1909090909090909,0.9962245404868356,0.7,0.8571428571428572,0.9549275594644414,0.6621156212117574,0.7368519209250279,0.9590724989585712,1.0,0.3084865977832945,0.9018460986565398,69.43483976295637,80.2759489686021,79.23512988496014,76.15414618606246,True,The Bahamas,mid-quartiles
569,BIH,2024,0.8850771869639794,51.59206286487934,17.54385964912281,0.1,0.875,106.7,5.6684,5.523562786176682,3.5,95.61883620318274,100.0,117.8877485,0.7036654353141785,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,TSI,Southern Europe,Europe & Central Asia,Upper middle income,0.5506924777199976,0.4878823158587776,0.1674641148325359,0.9989071038251366,0.8666666666666667,0.6342857142857139,0.9972788792195004,0.8745148994823619,0.954308093994778,0.9523594578564858,1.0,0.3690609049736687,0.7012939401208135,61.43225357806229,86.50968967455886,75.5678575737742,73.77900099436276,True,Bosnia and Herzegovina,mid-quartiles
599,BLR,2024,1.001648804616653,81.14125945679031,35.714285714285715,0.0,0.71875,105.9,1.10192,4.4473512099411385,4.7,99.43333130332095,100.0,123.4472552,0.8133817315101624,TSI,TSI,ORI,TSI,ORI,ORI,TSI,TSI,TSI,TSI,TSI,TSI,TSI,Eastern Europe,Europe & Central Asia,Upper middle income,0.6469238892596553,0.8004894423439131,0.3409090909090909,1.0,0.7,0.6799999999999995,0.9999881873293068,0.8998997923572627,0.9386422976501304,0.9938380747268204,1.0,0.3864655683082066,0.8118882697967542,69.76644845025316,87.9632569334175,79.80479782079453,78.82409128008045,True,Belarus,top quartile
629,BLZ,2024,0.9983055543836082,60.66484058035614,23.91304347826087,2.508510638297873,0.71875,105.1,129.78827,7.599498802479009,33.5,91.60194947588062,98.6,65.9948854,0.5228493809700012,TSI,TSI,ORI,AVG_INC,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,TSI,Central America,Latin America & Caribbean,Upper middle income,0.6441639919919108,0.5838651275082146,0.2282608695652174,0.9725845831880012,0.7,0.7257142857142859,0.9236381383470682,0.8255492364541757,0.5626631853785901,0.9086800451952244,0.9858870967741936,0.2066044388773576,0.5190308578060212,62.57749144506688,75.93912114735298,65.50506096631992,67.77239870492127,True,Belize,mid-quartiles
659,BOL,2024,0.8789323164918971,79.16212328788393,48.19277108433735,2.0,0.875,104.2,160.9074,5.544747081712062,19.7,77.02782950054961,99.9,99.62307127,0.6260071992874146,TSI,TSI,ORI,TSI,ORI,ORI,TSI,TSI,TSI,TSI,TSI,TSI,TSI,South America,Latin America & Caribbean,Lower middle income,0.5456198059053308,0.7795517471764584,0.4600219058050384,0.9781420765027322,0.8666666666666667,0.7771428571428568,0.905175052714562,0.8740152197867793,0.7428198433420365,0.7502018396111778,0.998991935483871,0.3118812710140316,0.6230142236614247,72.60004404112453,82.47882432465587,67.10223174426262,73.79134678277143,True,Bolivia,mid-quartiles
689,BRA,2024,1.055483870967742,60.443873053918594,17.50841750841751,3.5,0.78125,104.5,72.14754,3.168202764976958,26.2,93.7578891084015,100.0,98.89102076,0.8053597211837769,TSI,ORI,ORI,TSI,ORI,ORI,TSI,TSI,TSI,TSI,TSI,TSI,TSI,South America,Latin America & Caribbean,Upper middle income,0.6913654482738928,0.5815274658641386,0.1671258034894398,0.9617486338797814,0.7666666666666667,0.7599999999999998,0.9578365794317054,0.9300714119193672,0.6579634464751958,0.9321236181099368,1.0,0.3095895042516268,0.8038020612255561,63.36868036347838,82.6467859456567,76.137879589678,73.60383955004309,True,Brazil,mid-quartiles
719,BRB,2024,1.0191011235955056,77.11704658713283,31.37254901960784,0.3454545454545454,0.75,103.5,39.10801,14.528389522511397,29.2,98.2317183868882,100.0,114.8585936,0.9026253647529162,TSI,TSI,ORI,AVG_INC,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,AVG_INC,Caribbean,Latin America & Caribbean,High income,0.6613310093099177,0.7579164533411427,0.2994652406417112,0.9962245404868356,0.7333333333333333,0.817142857142857,0.9774390449134768,0.6621156212117574,0.618798955613577,0.9807717997733268,1.0,0.359577793599297,0.9018460986565398,68.96541154225882,76.8874119720417,81.05489230072908,75.46668431202148,True,Barbados,mid-quartiles
749,BRN,2024,0.963466440101954,65.70699031536114,11.764705882352942,0.3454545454545454,0.4166666666666666,107.6,44.23606,9.938086323871843,15.433333333333334,99.61916990611832,100.0,117.7551548,0.9026253647529162,TSI,TSI,ORI,AVG_INC,ORI,ORI,TSI,AVG_REG,AVG_REG,TSI,TSI,TSI,AVG_INC,Southeast Asia,East Asia & Pacific,High income,0.6154038425522402,0.6372070833568275,0.1122994652406417,0.9962245404868356,0.3777777777777777,0.582857142857143,0.9743965554133598,0.7703883414963388,0.79852045256745,0.995858873811048,1.0,0.3686458054273761,0.9018460986565398,54.77825418828645,78.15406230835728,81.65876944737408,70.44565176692231,True,Brunei,mid-quartiles
779,BTN,2024,0.6813417190775682,68.37735200078211,15.492957746478874,0.0,0.65625,104.8,59.94776,4.478522694144559,25.8,84.93322702012864,100.0,94.89274144,0.2768187820911407,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,TSI,Southern Asia,South Asia,Lower middle income,0.3825061554385526,0.6654573977286223,0.1478873239436619,1.0,0.6333333333333333,0.7428571428571429,0.9650747503843552,0.8991645421474264,0.6631853785900783,0.8361647118430571,1.0,0.2970724394764292,0.2710313344337237,56.5836842088834,81.75704534947506,60.10671214383024,65.26992704537614,True,Bhutan,mid-quartiles
809,BWA,2024,0.9714561309316208,60.40914276488871,11.11111111111111,15.4,0.59375,103.2,185.89684,33.92754456584244,7.199999999999999,84.51634272514927,75.9,165.3049695,0.447719544172287,AVG_INC,TSI,ORI,TSI,ORI,ORI,TSI,AVG_REG,AVG_REG,TSI,TSI,TSI,TSI,Southern Africa,Sub-Saharan Africa,Upper middle income,0.6219994379620518,0.5811600468779113,0.106060606060606,0.8316939890710382,0.5666666666666667,0.834285714285714,0.8903487329996994,0.2045425161527468,0.9060052219321147,0.8316315341886718,0.7570564516129032,0.5175058682227247,0.4432997747546579,54.15161493276548,70.87955463425688,63.737340719473934,62.54252980465975,True,Botswana,mid-quartiles
839,CAF,2024,0.4846706420746083,57.19397461698104,11.428571428571429,65.7,0.6770833333333333,103.2,835.26601,20.263198306520163,61.0,21.25438125587577,15.7,33.55228751,0.0971761718392372,TSI,AVG_INC,ORI,TSI,ORI,ORI,TSI,AVG_AFR,TSI,TSI,TSI,TSI,TSI,Central Africa,Sub-Saharan Africa,Low income,0.220151581228134,0.5471461110757078,0.1090909090909091,0.281967213114754,0.6555555555555554,0.834285714285714,0.5050757966155708,0.5268471388290322,0.2036553524804176,0.1437243293387359,0.1502016129032257,0.1050392237525625,0.089951087005787,36.27822740130121,51.74660005526837,12.222906325007784,28.41629509499045,True,Central African Republic,lowest quartile
869,CAN,2024,1.0108774474256708,75.3852174843956,35.944700460829495,0.2,1.0,105.5,11.01287,5.898456943753111,0.1588235294117647,98.7975208157115,100.0,91.23062536,0.9950555562973022,TSI,ORI,ORI,TSI,ORI,ORI,TSI,TSI,AVG_EUR,TSI,TSI,TSI,TSI,North America,North America,High income,0.6545422559083293,0.7395950713135102,0.343108504398827,0.9978142076502732,1.0,0.7028571428571426,0.994107986997566,0.8656721698187471,0.9979265857779144,0.9869243052959098,1.0,0.2856077716733672,0.9950159870877932,74.70120078541879,89.01409713628425,81.68870160142676,81.59235263936274,True,Canada,top quartile
899,CHE,2024,0.9459649122807018,80.1139240191487,37.80487804878049,0.0,0.8125,105.1,7.37875,2.0242914979757085,0.1,99.93291680865028,100.0,119.5610489,0.9901793599128724,TSI,ORI,ORI,TSI,ORI,ORI,TSI,TSI,AVG_REG,TSI,TSI,TSI,TSI,Western Europe,Europe & Central Asia,High income,0.6009560999519978,0.7896210460374832,0.3608647450110865,1.0,0.8,0.7257142857142859,0.9962641227493948,0.9570531556697832,0.9986945169712794,0.999270540944637,1.0,0.3742993607739914,0.9901007676609456,71.02883782001135,91.94315202761858,84.09176673448935,81.89094032633777,True,Switzerland,top quartile
929,CHL,2024,0.9776119402985074,64.05409577267943,33.170731707317074,0.4,0.75,104.3,15.03074,8.730964467005077,23.56,99.9999982963226,100.0,134.7453263,0.8661530017852783,TSI,ORI,ORI,TSI,ORI,ORI,TSI,TSI,AVG_REG,TSI,TSI,TSI,TSI,South America,Latin America & Caribbean,High income,0.6270811399790003,0.6197207665372312,0.316629711751663,0.9956284153005464,0.7333333333333333,0.7714285714285715,0.9917241710660064,0.7988610504879095,0.6924281984334204,0.9999999814743026,1.0,0.4218354553208748,0.865081856023902,65.8478673380355,81.36104978539768,82.17293232047699,76.0727321265452,True,Chile,mid-quartiles
959,CHN,2024,0.9249394673123488,74.17422556298723,26.53678199529728,0.1,0.6875,110.3,23.04763,3.076414158121072,2.8,96.4713688952269,100.0,124.8775379,0.8734490275382996,TSI,TSI,ORI,TSI,ORI,ORI,TSI,TSI,TSI,TSI,TSI,TSI,TSI,East Asia,East Asia & Pacific,Upper middle income,0.5835993171579005,0.7267837346813727,0.2533056463187467,0.9989071038251366,0.6666666666666666,0.4285714285714286,0.986967722971976,0.9322364545593316,0.9634464751958224,0.9616298530134892,1.0,0.3909432297645214,0.87243627013949,64.58524937299646,82.78055203246397,80.62523382293752,75.54009883640735,True,China,mid-quartiles
989,CIV,2024,0.7175843694493783,71.65685647568473,16.524216524216524,9.7,0.96875,103.0,479.90675,19.427385601185183,25.8,48.805401703832,70.4,174.0251271,0.1382146477699279,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,TSI,Western Africa,Sub-Saharan Africa,Lower middle income,0.4124249424764847,0.7001519609803047,0.1577311577311577,0.8939890710382514,0.9666666666666668,0.8457142857142855,0.7159116537775162,0.5465616786620118,0.6631853785900783,0.4433126605719098,0.7016129032258065,0.544805306004158,0.131317984119865,62.6192759778573,69.28432491859729,45.526221348043485,58.237342070496126,True,Côte d’Ivoire,lowest quartile
1019,CMR,2024,0.7378693652846267,70.2292185089868,32.857142857142854,23.0,0.5833333333333333,103.0,437.75285,20.263198306520163,29.8,51.85538314829949,71.0,82.77764316,0.2029482424259185,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_AFR,TSI,TSI,TSI,TSI,TSI,Central Africa,Sub-Saharan Africa,Lower middle income,0.429170474721891,0.685048680556339,0.3136363636363636,0.7486338797814207,0.5555555555555555,0.8457142857142855,0.7409217059686957,0.5268471388290322,0.6109660574412532,0.4764779966060581,0.7076612903225806,0.2591447566429434,0.1965696263709402,54.64089908503139,68.11122969883168,40.99634174856306,53.43517314161336,True,Cameroon,lowest quartile
1049,COD,2024,0.6282093136212193,69.27405926173414,14.84641638225256,78.9,0.84375,102.3,547.36028,20.263198306520163,29.1,22.425363582708197,21.5,50.3424172,0.0812750309705734,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_AFR,TSI,TSI,TSI,TSI,TSI,Central Africa,Sub-Saharan Africa,Low income,0.3386446522826462,0.6749438512527532,0.1417157927396835,0.1377049180327868,0.8333333333333334,0.8857142857142857,0.6758912450898433,0.5268471388290322,0.6201044386422976,0.1564575288897996,0.2086693548387096,0.1576026201772272,0.0739226930805011,42.52685095282406,67.71392770688647,14.91630492465594,35.02145305060692,True,Democratic Republic of Congo,lowest quartile
1079,COG,2024,0.7624631796490116,35.98790620327528,20.179372197309416,35.4,0.4895833333333333,102.6,282.38575,20.263198306520163,27.3,38.18259070465844,50.6,96.78757313,0.1653425693511963,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_AFR,TSI,TSI,TSI,TSI,TSI,Central Africa,Sub-Saharan Africa,Lower middle income,0.4494729936290291,0.3228026812895162,0.1926212800652262,0.6131147540983607,0.4555555555555555,0.8685714285714288,0.8331015346391677,0.5268471388290322,0.6436031331592689,0.327800778670494,0.5020161290322581,0.3030044239886636,0.1586630040193945,40.67134529275376,71.80308087997244,32.28710839277026,45.51489964978441,True,Republic of Congo,lowest quartile
1109,COL,2024,1.0367816091954023,57.98729173011189,29.69283276450512,6.0,0.75,104.6,74.7629,3.8157894736842106,23.4,95.6572164817967,100.0,155.7854178,0.5171563625335693,TSI,ORI,ORI,TSI,ORI,ORI,TSI,TSI,TSI,TSI,TSI,TSI,TSI,South America,Latin America & Caribbean,Upper middle income,0.6759264839223919,0.5555387786176472,0.283431585479367,0.9344262295081968,0.7333333333333333,0.7542857142857144,0.9562848774516104,0.9147966094634742,0.6945169712793733,0.952776802965134,1.0,0.4877038369680042,0.5132922794941422,63.65312821721872,82.99710431200431,73.84432298568203,73.06901762248287,True,Colombia,mid-quartiles
1139,COM,2024,0.7445842063445142,60.59452503276706,16.666666666666668,18.6,0.4895833333333333,103.2,216.95373,17.515475716662582,20.7,50.52693824324446,89.9,100.2382961,0.275047093629837,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,TSI,Eastern Africa,Sub-Saharan Africa,Lower middle income,0.4347136647922452,0.583121244634422,0.1590909090909091,0.7967213114754098,0.4555555555555555,0.834285714285714,0.8719225745708062,0.5916584130558519,0.7297650130548303,0.4620325573530024,0.8981854838709677,0.3138073017967984,0.2692454675701314,48.58405371097084,75.69079287418006,48.5817702647725,56.320959667742656,True,Comoros,lowest quartile
1169,CPV,2024,0.9151712887438826,58.375699624823,38.888888888888886,4.6,0.875,103.3,42.24144,19.427385601185183,8.4,85.29769230906842,97.1,99.2317289,0.313592883447806,TSI,TSI,ORI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,AVG_INC,Western Africa,Sub-Saharan Africa,Lower middle income,0.5755355566067201,0.5596478269124838,0.3712121212121212,0.9497267759562842,0.8666666666666667,0.8285714285714285,0.9755799702409694,0.5465616786620118,0.8903394255874674,0.8401278880133243,0.970766129032258,0.3106561295462841,0.3080997301961061,66.45577894708552,81.02631257654693,60.74124691969931,68.89919963758386,True,Cabo Verde,mid-quartiles
1199,CRI,2024,1.0218390804597703,56.46736246769375,47.36842105263158,0.9,0.84375,104.6,22.00381,7.599498802479009,17.1,98.85535897957352,100.0,152.0251489,0.610813319683075,TSI,ORI,ORI,TSI,ORI,ORI,TSI,AVG_REG,TSI,TSI,TSI,TSI,TSI,Central America,Latin America & Caribbean,Upper middle income,0.6635912288992857,0.5394591292875103,0.4521531100478469,0.9901639344262296,0.8333333333333334,0.7542857142857144,0.9875870249269126,0.8255492364541757,0.7767624020887728,0.9875532344140072,1.0,0.4759318906815049,0.60769875104451,69.57401471988412,83.60460944388939,76.77959690350056,76.43771658743914,True,Costa Rica,mid-quartiles
